ID,label-0,label-1,Group
1352.nii.gz,0.7938809,0.2061191,tcga
1353.nii.gz,0.7891723,0.21082774,tcga
1354.nii.gz,0.8343284,0.16567156,tcga
1356.nii.gz,0.6739404,0.32605958,tcga
1357.nii.gz,0.8413931,0.1586069,tcga
1358.nii.gz,0.591239,0.408761,tcga
1359.nii.gz,0.8023201,0.19767986,tcga
1361.nii.gz,0.6362669,0.3637331,tcga
1362.nii.gz,0.4436081,0.5563919,tcga
1363.nii.gz,0.78273314,0.21726687,tcga
1364.nii.gz,0.7655711,0.23442888,tcga
1365.nii.gz,0.8691313,0.13086869,tcga
1366.nii.gz,0.8442967,0.15570329,tcga
1367.nii.gz,0.8691313,0.13086869,tcga
1368.nii.gz,0.88029236,0.119707644,tcga
1369.nii.gz,0.8442967,0.15570329,tcga
1370.nii.gz,0.8023201,0.19767986,tcga
1371.nii.gz,0.76788044,0.23211955,tcga
1372.nii.gz,0.703439,0.29656097,tcga
1373.nii.gz,0.71165943,0.28834054,tcga
1374.nii.gz,0.76852727,0.23147272,tcga
1375.nii.gz,0.682456,0.31754398,tcga
1376.nii.gz,0.62753487,0.37246516,tcga
1377.nii.gz,0.6501901,0.34980986,tcga
1378.nii.gz,0.7584957,0.24150431,tcga
1379.nii.gz,0.711269,0.288731,tcga
1380.nii.gz,0.77262175,0.22737822,tcga
1381.nii.gz,0.8078877,0.19211233,tcga
1382.nii.gz,0.648679,0.35132098,tcga
1383.nii.gz,0.73592675,0.26407325,tcga
1384.nii.gz,0.6694885,0.3305115,tcga
1385.nii.gz,0.66502964,0.33497033,tcga
1386.nii.gz,0.69895905,0.30104095,tcga
1387.nii.gz,0.75660443,0.24339555,tcga
1388.nii.gz,0.4989034,0.5010966,tcga
1389.nii.gz,0.6332594,0.36674055,tcga
1390.nii.gz,0.4436081,0.5563919,tcga
1391.nii.gz,0.85117775,0.14882226,tcga
1392.nii.gz,0.6129348,0.38706517,tcga
